,name,address,city,state,postal_code,stars,review_count,is_open,categories
14212,YMCA Calgary,101 3 Street SW,Calgary,AB,T2P 4G6,4.0,16,1,"Summer Camps, Active Life, Swimming Pools, Amateur Sports Teams, Trainers, Fitness & Instruction, Gyms, Recreation Centers"
14387,Cleveland Rock Gym,21200 Saint Clair Ave,Euclid,OH,44117,3.5,26,1,"Fitness & Instruction, Climbing, Active Life, Gyms"
14456,Little Otter Swim School,8200 Tower Point Dr,Charlotte,NC,28227,5.0,13,1,"Swimming Pools, Active Life, Education, Kids Activities, Specialty Schools, Swimming Lessons/Schools, Fitness & Instruction"
14543,LA Fitness,445 N Stapley Dr,Mesa,AZ,85203,3.0,42,1,"Active Life, Yoga, Gyms, Fitness & Instruction, Trainers, Sports Clubs"
14545,Spa Lady,600-12024 Sarcee Trail NW,Calgary,AB,T3R 0A1,2.0,5,1,"Active Life, Fitness & Instruction, Trainers, Gyms"
14570,The Stretch Doc,"6985 W Sahara Ave, Unit 107",Las Vegas,NV,89117,5.0,12,1,"Chiropractors, Health & Medical, Active Life, Doctors, Sports Medicine, Fitness & Instruction, Trainers"
14684,YMCA,2300 Towne Centre,Scarborough,ON,M1P 3G9,2.5,3,1,"Fitness & Instruction, Active Life, Gyms"
14828,Madhouse Trampoline Park & Entertainment Experience,2700 Novation Pkwy,Madison,WI,53713,4.0,5,1,"Active Life, Fitness & Instruction, Event Planning & Services, Venues & Event Spaces, Playgrounds, Amusement Parks"
14839,Hot Yoga TNT,"500 Sheppard Ave E, Ste 208",North York,ON,M2N 6H7,3.0,12,1,"Fitness & Instruction, Yoga, Active Life"
14986,Ballet Barre Works,1410 4th Street SW,Calgary,AB,T2R 0Y1,4.0,3,1,"Fitness & Instruction, Active Life, Dance Studios"
14994,Tiger Kim's Tae Kwon Do,2435 Hwy 160 W,Tega Cay,SC,29708,5.0,5,1,"Taekwondo, Active Life, Fitness & Instruction, Martial Arts"
15059,Bikram Yoga Calgary @ Marda Loop,"216 - 2031 33rd Ave SW, 2nd Fl, Shoppers Drug Mart on Main Floor",Calgary,AB,T2T 1Z5,4.5,6,1,"Active Life, Fitness & Instruction, Yoga"
15091,Jeff Speakman Kenpo 5.0,"8645 West Flamingo Rd, Ste 104",Las Vegas,NV,89147,4.0,5,1,"Fitness & Instruction, Active Life, Martial Arts"
15101,LA Fitness,1382 S Cotton Ln,Goodyear,AZ,85338,3.0,59,1,"Sports Clubs, Trainers, Yoga, Gyms, Fitness & Instruction, Active Life"
15124,Endurance Rehabilitation,"6636 E Baseline Rd, Ste 102",Mesa,AZ,85206,5.0,7,1,"Health & Medical, Rehabilitation Center, Fitness & Instruction, Physical Therapy, Sports Medicine, Active Life, Doctors, Trainers"
15143,Renovations the Spa For Men,1000 Centre Street NE,Calgary,AB,T2E 7W6,4.5,4,1,"Massage, Day Spas, Fitness & Instruction, Active Life, Beauty & Spas, Gyms"
15170,Monroy Training,896 E Van Buren St,Goodyear,AZ,85338,5.0,3,1,"Weight Loss Centers, Nutritionists, Health & Medical, Active Life, Fitness & Instruction, Trainers"
15199,Pro Physiques,"195 E Williamsfield Rd, Ste 120",Gilbert,AZ,85295,4.0,14,1,"Trainers, Fitness & Instruction, Active Life, Gyms"
15282,Svaha Yoga Center,"7950 East Redfield Rd, Ste 170",Scottsdale,AZ,85260,5.0,5,1,"Active Life, Yoga, Fitness & Instruction"
15368,Exquisite Nails & Spa,347 17 Ave SW,Calgary,AB,T2S 0A5,3.0,35,1,"Hair Removal, Beauty & Spas, Fitness & Instruction, Nail Salons, Active Life, Waxing, Day Spas, Gyms"
15384,Sandoval Freestyle Karate,"1525 S Higley Rd, Ste 101",Gilbert,AZ,85296,3.0,19,1,"Karate, Active Life, Fitness & Instruction, Martial Arts"
15476,Priority One! Fitness,5823-25 Bryant St,Pittsburgh,PA,15206,5.0,3,1,"Gyms, Fitness & Instruction, Boot Camps, Circuit Training Gyms, Active Life, Trainers"
15518,GoodLife Fitness,50-3915 51 Street SW,Calgary,AB,T3E 6N1,2.5,30,1,"Active Life, Fitness & Instruction, Sports Clubs, Trainers, Gyms"
15668,F45 Training West Spring Valley,4985 S Fort Apache Rd,Las Vegas,NV,89148,5.0,25,1,"Circuit Training Gyms, Fitness & Instruction, Trainers, Active Life, Gyms, Interval Training Gyms"
15684,Dyme Boxing & Fitness,4560 Old Pineville Rd,Charlotte,NC,28217,5.0,9,1,"Boxing, Fitness & Instruction, Gyms, Active Life, Martial Arts"
15718,Tocasierra Spa and Fitness,7677 N 16th St,Phoenix,AZ,85020,4.0,30,1,"Health & Medical, Medical Spas, Gyms, Day Spas, Fitness & Instruction, Active Life, Restaurants, Beauty & Spas"
15725,Mountainside Fitness,401 E Jefferson St,Phoenix,AZ,85004,4.0,54,1,"Active Life, Fitness & Instruction, Gyms, Yoga, Massage Therapy, Health & Medical, Trainers, Weight Loss Centers"
15818,Sunrise Children's Hospital,3186 S Maryland Pkway,Las Vegas,NV,89109,3.5,71,1,"Medical Centers, Gyms, Active Life, Community Service/Non-Profit, Fitness & Instruction, Local Services, Health & Medical, Hospitals, Pediatricians, Emergency Rooms, Doctors"
15846,No Limits Karate Academy,"747 W Pinnacle Peak, Ste A101",Phoenix,AZ,85027,5.0,14,1,"Karate, Fitness & Instruction, Martial Arts, Active Life, Kids Activities"
15889,Aqua-Tots Swim Schools Chandler,"4040 S Arizona Ave, Ste 1",Chandler,AZ,85248,3.0,15,1,"Active Life, Swimming Lessons/Schools, Swimming Pools, Fitness & Instruction, Education, Specialty Schools"
15928,EōS Fitness,8440 W Thunderbird Rd,Peoria,AZ,85381,3.5,152,1,"Yoga, Gyms, Fitness & Instruction, Trainers, Active Life, Pilates, Cardio Classes"
15942,Peigne Dance Studio,"401 W Van Buren St, Ste C-1",Avondale,AZ,85323,3.5,3,1,"Event Planning & Services, Dance Clubs, Performing Arts, Nightlife, Dance Studios, Active Life, Arts & Entertainment, Fitness & Instruction"
15944,Scottsdale Silverado Golf Club,7605 E Indian Bend Rd,Scottsdale,AZ,85250,3.5,75,1,"Golf, Active Life, Venues & Event Spaces, Sporting Goods, Sports Wear, Fitness & Instruction, American (New), Shopping, Fashion, Event Planning & Services, Restaurants, Golf Lessons"
16050,Head 2 Toe Chiropractic & Health Care Center,"1611 E Warner Rd, Ste 6",Tempe,AZ,85284,5.0,5,1,"Chiropractors, Health & Medical, Fitness & Instruction, Active Life"
16171,Auxiliary Crossfit,"213 Sterling Road, Suite  109",Toronto,ON,M6R 2B2,3.5,6,1,"Active Life, Gyms, Fitness & Instruction"
16227,Workout Quest Boot Camp,4325 N Rancho Dr,Las Vegas,NV,89130,5.0,8,1,"Active Life, Fitness & Instruction, Weight Loss Centers, Trainers, Health & Medical"
16289,Bloor Fitness 24/7,505 Dupont Street,Toronto,ON,M6G 1Y6,3.0,6,1,"Gyms, Active Life, Fitness & Instruction, Boxing"
16388,Tedesco Body Shop,"4431 William Penn Hwy, Ste 5",Murrysville,PA,15668,5.0,3,1,"Fitness & Instruction, Personal Chefs, Event Planning & Services, Active Life, Gyms, Boot Camps, Martial Arts, Kickboxing, Trainers"
16432,Millennium Dance Complex Las Vegas,"6675 S Tenaya Way, Ste 120",Las Vegas,NV,89113,4.0,10,1,"Education, Specialty Schools, Performing Arts, Arts & Entertainment, Fitness & Instruction, Dance Schools, Dance Studios, Active Life"
16482,Big Cat Boxing & Fitness,"6675 S Tenaya Way, Unit 140",Las Vegas,NV,89113,4.5,16,1,"Active Life, Boxing, Fitness & Instruction, Gyms, Trainers"
16517,Anytime Fitness,"500 E Windmill Ln, Ste 150",Las Vegas,NV,89123,3.5,49,1,"Fitness & Instruction, Trainers, Active Life, Gyms"
16609,Orangetheory Fitness Happy Valley,2501 W Happy Valley Rd,Phoenix,AZ,85027,4.0,54,1,"Gyms, Boot Camps, Interval Training Gyms, Active Life, Fitness & Instruction, Trainers"
16662,Pure Barre - Chandler,"2055 West Frye Rd, Ste 5",Chandler,AZ,85224,4.5,39,1,"Active Life, Fitness & Instruction, Gyms, Dance Studios, Barre Classes"
16664,Salcianu Elite Academy of Gymnastics,"1000 N Stephanie St, Ste 1",Henderson,NV,89014,4.0,12,1,"Gymnastics, Education, Active Life, Recreation Centers, Dance Schools, Dance Studios, Specialty Schools, Fitness & Instruction"
16671,Anytime Fitness,3220 E Baseline Rd,Phoenix,AZ,85042,3.5,16,1,"Trainers, Gyms, Health & Medical, Fitness & Instruction, Active Life"
16814,Destiny Martial Arts Academy,"13644 N 75th Ave, Ste 104",Peoria,AZ,85381,5.0,3,1,"Martial Arts, Fitness & Instruction, Active Life"
16815,Elite Martial Arts,"Wynn Fitness, 98 The Esplanade",Toronto,ON,M6J 2T6,5.0,7,1,"Fitness & Instruction, Martial Arts, Active Life"
16864,Burn Boot Camp,"9030 Northfield Dr, Unit G",Fort Mill,SC,29707,5.0,6,1,"Fitness & Instruction, Boot Camps, Gyms, Active Life, Trainers"
16892,Trapeze U,14407 East Pecos Rd,Gilbert,AZ,85297,4.0,26,1,"Active Life, Fitness & Instruction"
16960,Time For You,"600 West Hatcher Rd, Ste 300",Phoenix,AZ,85021,5.0,6,1,"Health & Medical, Beauty & Spas, Meditation Centers, Hypnosis/Hypnotherapy, Massage, Active Life, Yoga, Fitness & Instruction, Life Coach, Day Spas, Professional Services, Reiki"
17018,Tribe Barre,"5540 E Broadway Rd, Ste 12",Mesa,AZ,85206,5.0,9,1,"Barre Classes, Active Life, Fitness & Instruction"
17067,TruHIT Fitness,"4302 E Ray Rd, Ste 109",Phoenix,AZ,85044,5.0,18,1,"Active Life, Fitness & Instruction, Gyms, Trainers"
17111,Mind Bodhi Yoga,"1301 E University Dr, Ste 130",Tempe,AZ,85281,5.0,4,1,"Yoga, Active Life, Fitness & Instruction"
17121,Trilogy,"100 St Clair Ave NE, Fl 3",Cleveland,OH,44114,5.0,8,1,"Boot Camps, Active Life, Barre Classes, Fitness & Instruction, Gyms, Yoga, Cardio Classes, Trainers"
17170,Club Pilates,"2373 Len Patterson Rd, Ste 102",Fort Mill,SC,29708,3.5,6,1,"Fitness & Instruction, Pilates, Active Life"
17211,Desert Fitness,"4658 S Higley Rd, Ste 101",Gilbert,AZ,85297,3.0,34,1,"Beauty & Spas, Active Life, Gyms, Fitness & Instruction, Sports Clubs, Tanning, Trainers, Tanning Beds"
17446,Trainer's Club,"6909 W Ray Rd, Ste 6",Chandler,AZ,85226,5.0,3,1,"Gyms, Boot Camps, Active Life, Trainers, Fitness & Instruction"
17478,Planet Fitness,5121 W Glendale Ave,Glendale,AZ,85301,4.0,24,1,"Gyms, Active Life, Trainers, Fitness & Instruction, Sports Clubs"
17485,Russell Aquatics,66 Copper Creek Drive,Markham,ON,L6B 0P2,5.0,4,1,"Fitness & Instruction, Specialty Schools, Swimming Lessons/Schools, Education, Active Life"
17535,Islington Golf Club,45 Riverbank Drive,Etobicoke,ON,M9A 5B8,4.5,3,1,"Amateur Sports Teams, Fitness & Instruction, Active Life"
17545,Depalma's Team Usa Martial Arts,"4720 E Queen Creek Rd, Ste 103",Gilbert,AZ,85297,3.0,5,1,"Sports Clubs, Active Life, Martial Arts, Kids Activities, Fitness & Instruction"
17605,Brace Family YMCA,3127 Weddington Rd,Matthews,NC,28105,4.0,40,1,"Active Life, Gyms, Local Services, Fitness & Instruction, Child Care & Day Care"
17644,Personalized Wellness Center,"1653 Merriman Rd, Ste 300",Akron,OH,44313,2.5,3,1,"Weight Loss Centers, Health & Medical, Active Life, Gyms, Boot Camps, Fitness & Instruction, Trainers"
17851,Fitness Together,"428 N Trade St, Ste 102",Matthews,NC,28105,5.0,3,1,"Fitness & Instruction, Gyms, Active Life, Weight Loss Centers, Health & Medical, Trainers"
17917,365 GYM,"3830 W Pinnacle Peak Rd, Ste 107",Phoenix,AZ,85083,5.0,6,1,"Trainers, Nutritionists, Health & Medical, Active Life, Life Coach, Fitness & Instruction, Professional Services, Gyms"
17943,Naada Yoga,5540 Casgrain Avenue,Montréal,QC,H2T 1C2,4.5,7,1,"Active Life, Fitness & Instruction, Yoga"
17988,Next Level Ballroom,"9995 S Eastern Ave, Ste 110",Henderson,NV,89052,4.5,6,1,"Dance Studios, Active Life, Fitness & Instruction, Education, Specialty Schools, Dance Schools"
18040,Jazzercise Scott Township Fitness Center,1100 Washington Ave,Carnegie,PA,15106,5.0,3,1,"Active Life, Fitness & Instruction"
18070,USA Dance Company,1530 S Gilbert Rd,Gilbert,AZ,85233,3.5,3,1,"Fitness & Instruction, Active Life, Dance Studios"
18119,CrossFit Fury,"540 N Bullard Ave, Ste 15",Goodyear,AZ,85338,4.5,27,1,"Gyms, Nutritionists, Active Life, Health & Medical, Fitness & Instruction, Martial Arts, Interval Training Gyms, Trainers"
18229,GoodLife Fitness,3660 Kingston Rd,Scarborough,ON,M1M 1R9,3.5,6,1,"Active Life, Gyms, Fitness & Instruction, Sports Clubs, Trainers"
18269,LA Fitness,5810 W Peoria Ave,Glendale,AZ,85302,2.5,43,1,"Yoga, Fitness & Instruction, Active Life, Trainers, Gyms, Sports Clubs"
18294,Foothills Sports Medicine Physical Therapy,"15543 N Reems Rd, Ste 133",Surprise,AZ,85374,4.5,10,1,"Health & Medical, Active Life, Physical Therapy, Sports Medicine, Gyms, Fitness & Instruction, Doctors"
18296,Alive and Free Hypnosis & Wellness,255 Rutherford Road S,Brampton,ON,L6W 3J7,1.0,3,1,"Weight Loss Centers, Health & Medical, Counseling & Mental Health, Active Life, Fitness & Instruction"
18380,Boomerang Pilates & Wellness,240 Roncesvalles Ave,Toronto,ON,M6R 1M3,4.0,3,1,"Pilates, Active Life, Fitness & Instruction"
18445,Body & Brain Yoga Tai Chi - Scottsdale,"8880 E Via Linda, Ste 110",Scottsdale,AZ,85258,4.5,8,1,"Tai Chi, Yoga, Active Life, Martial Arts, Gyms, Meditation Centers, Fitness & Instruction"
18448,Trainer Jo - The Academy,"1100 Sheppard Avenue E, Unit 101",Toronto,ON,M2K 2W1,3.0,7,1,"Trainers, Fitness & Instruction, Active Life"
18726,Fitness Depot Yonge St,2725 Yonge Street,Toronto,ON,M4N 2H8,2.0,3,1,"Fitness & Instruction, Sporting Goods, Shopping, Active Life, Trainers"
18912,Anytime Fitness,32687 N Scottsdale Rd,Scottsdale,AZ,85266,3.5,12,1,"Active Life, Fitness & Instruction, Gyms, Trainers"
18965,Orangetheory Fitness Gilbert - East,"1440 S Highley Rd, Ste 105",Gilbert,AZ,85296,4.5,42,1,"Gyms, Boot Camps, Trainers, Active Life, Fitness & Instruction"
18966,Planet Fitness,7475 Mineral Point Rd,Madison,WI,53717,4.0,20,1,"Gyms, Trainers, Fitness & Instruction, Active Life, Yoga"
19015,Peters Township Athletic Club,451 Valleybrook Rd,McMurray,PA,15317,4.5,3,1,"Fitness & Instruction, Gyms, Active Life"
19075,Buns of Steel Boot Camp,"Riverdale Presbyterian Church, 662 Pape Avenue",Toronto,ON,M4K 3S4,4.0,9,1,"Active Life, Trainers, Fitness & Instruction"
19088,Ignite Performance,"375 E Warner Rd, Ste 2",Chandler,AZ,85225,5.0,3,1,"Fitness & Instruction, Trainers, Active Life"
19124,Mayko & Karen Brazilian Jiu-Jitsu,1635 W Camelback Rd,Phoenix,AZ,85015,5.0,3,1,"Fitness & Instruction, Martial Arts, Active Life, Brazilian Jiu-jitsu"
19248,CHAMP Physical Therapy & Pilates,"4340 W Chandler Blvd, Ste 3",Chandler,AZ,85226,5.0,7,1,"Fitness & Instruction, Active Life, Health & Medical, Pilates, Physical Therapy"
19268,Green Valley Range,"175 Cassia Way, Ste A1110",Henderson,NV,89014,4.5,414,1,"Venues & Event Spaces, Fitness & Instruction, Self-defense Classes, Guns & Ammo, Gun/Rifle Ranges, Education, Shopping, Active Life, Event Planning & Services"
19293,Sampson Family YMCA,2200 Golden Mile Hwy,Pittsburgh,PA,15239,3.0,8,1,"Gyms, Local Services, Fitness & Instruction, Child Care & Day Care, Active Life, Amateur Sports Teams"
19294,Planet Fitness,"3300 Flamingo Rd, Ste 26",Las Vegas,NV,89121,3.0,85,1,"Trainers, Beauty & Spas, Gyms, Tanning, Active Life, Fitness & Instruction"
19317,GoodLife Fitness,250 Ferrand Dr,North York,ON,M3C 3G8,3.5,8,1,"Trainers, Fitness & Instruction, Chiropractors, Active Life, Sports Clubs, Gyms, Health & Medical"
19326,Academy of Ballroom Dance,832 E Indian School Rd,Phoenix,AZ,85014,4.5,3,1,"Performing Arts, Fitness & Instruction, Wedding Planning, Event Planning & Services, Arts & Entertainment, Active Life, Dance Studios"
19377,CrossFit Adept,"1155 Clarity St, Ste 201",Verona,WI,53593,5.0,3,1,"Gyms, Trainers, Active Life, Fitness & Instruction, Interval Training Gyms"
19448,Yoga Pulse Studio,"342 N Val Vista Dr, Ste 102",Mesa,AZ,85213,5.0,21,1,"Yoga, Fitness & Instruction, Active Life"
19465,Sin City Krav Maga,"7800 W Ann Rd, Ste 110",Las Vegas,NV,89149,4.0,8,1,"Martial Arts, Fitness & Instruction, Active Life"
19528,BodyVision Fitness,"20028 N. 67th Ave, Ste 208",Glendale,AZ,85308,5.0,3,1,"Active Life, Fitness & Instruction, Gyms, Trainers"
19545,Planet Fitness,1416 S Water St,Kent,OH,44240,3.0,11,1,"Gyms, Active Life, Fitness & Instruction, Trainers"
19561,Goldfish Swim School - Wexford,160 Lake Dr,Wexford,PA,15090,3.5,13,1,"Specialty Schools, Swimming Lessons/Schools, Fitness & Instruction, Education, Swimming Pools, Active Life"
19592,Orangetheory Fitness Surprise,16846 W Bell Rd,Surprise,AZ,85374,4.5,20,1,"Fitness & Instruction, Interval Training Gyms, Boot Camps, Active Life, Gyms, Trainers"
19659,Southwest Judo Academy,"145 W Broadway Rd, Ste 8",Mesa,AZ,85210,5.0,4,1,"Active Life, Fitness & Instruction, Martial Arts"
19660,Healing Edge,"3030 N Litchfield Rd, Ste 120",Goodyear,AZ,85395,5.0,8,1,"Massage Therapy, Reflexology, Yoga, Fitness & Instruction, Health & Medical, Active Life, Beauty & Spas, Acupuncture, Massage"
19927,The Alberta Yoga College,"2439 54 Avenue SW, Suite 5",Calgary,AB,T3E 1M4,4.5,6,1,"Yoga, Active Life, Fitness & Instruction"
20004,Las Vegas Swim Academy,6017 Fawn Ave,Las Vegas,NV,89107,5.0,7,1,"Education, Active Life, Swimming Lessons/Schools, Swimming Pools, Fitness & Instruction, Specialty Schools"
20089,National Academy of Sports Medicine - NASM,1750 E Northrop Blvd,Chandler,AZ,85286,1.5,46,1,"Trainers, Active Life, Fitness & Instruction, Health & Medical, Education, Physical Therapy, Test Preparation, Specialty Schools"
20201,Jabz Boxing Fitness For Women-Glendale,"6645 W Bell Rd, Ste 105",Glendale,AZ,85308,5.0,13,1,"Active Life, Trainers, Fitness & Instruction, Boxing, Gyms"
20209,Sun Tree Healing Arts,"7227 N 16th St, Ste 216",Phoenix,AZ,85020,5.0,10,1,"Massage Therapy, Health & Medical, Acupuncture, Counseling & Mental Health, Health Coach, Meditation Centers, Fitness & Instruction, Traditional Chinese Medicine, Active Life"
20229,Ashtanga Yoga Las Vegas,"6565 S Ft Apache, Ste 180",Las Vegas,NV,89148,5.0,3,1,"Fitness & Instruction, Pilates, Active Life, Yoga"
20288,Journey Yoga,811 1st Avenue NE,Calgary,AB,T2E 0C2,5.0,5,1,"Yoga, Fitness & Instruction, Active Life"
20294,Nak Muay Thai-Lao,"4881 W Hacienda Ave, Ste 6",Las Vegas,NV,89118,3.5,3,1,"Muay Thai, Boxing, Active Life, Gyms, Martial Arts, Fitness & Instruction"
20403,GoodLife Fitness,3050 Argentia Rd,Mississauga,ON,L5N 8E1,3.0,4,1,"Fitness & Instruction, Gyms, Active Life, Trainers, Sports Clubs"
20425,Verve Studios,"7735 E Gelding Dr, Ste 5",Scottsdale,AZ,85260,5.0,13,1,"Education, Dance Studios, Performing Arts, Specialty Schools, Adult Education, Active Life, Professional Services, Fitness & Instruction, Arts & Entertainment, Video/Film Production"
20439,Swim Zone,75 Consumers Drive,Whitby,ON,L1N 2C2,2.5,3,1,"Active Life, Specialty Schools, Swimming Lessons/Schools, Education, Fitness & Instruction"
20457,Yoga to the People,"117 E 5th St, Ste 101",Tempe,AZ,85281,4.5,30,1,"Gyms, Yoga, Active Life, Fitness & Instruction"
20463,Lisa Mastley Personal Training,,West Las Vegas,NV,89106,5.0,6,1,"Active Life, Trainers, Fitness & Instruction"
20614,Perpetual Fitness,"203 E Royalton Rd, Ste 107",Broadview Heights,OH,44147,5.0,4,1,"Boot Camps, Active Life, Fitness & Instruction, Gyms, Trainers"
20643,Pilates of Charlotte,"10701 Mcmullen Creek Pkwy, Ste C",Charlotte,NC,28226,5.0,3,1,"Fitness & Instruction, Pilates, Barre Classes, Active Life, Yoga"
20689,Totum Life Science,"445 King Street W, Suite 101",Toronto,ON,M5V 1K4,4.0,23,1,"Physical Therapy, Health & Medical, Fitness & Instruction, Active Life, Trainers, Gyms"
20692,Best Of The Best DJ's,"7322 S Rainbow Blvd, Ste 117",Las Vegas,NV,89139,4.0,26,1,"Bakeries, Cafes, DJs, Home Services, Music Venues, Barbeque, Event Planning & Services, Food, Home & Garden, Beauty & Spas, Restaurants, Nail Salons, Fashion, Fitness & Instruction, Fur Clothing, Pilates, Party & Event Planning, Pizza, Shopping, Lighting Fixtures & Equipment, Food Court, Automotive, Active Life, Arts & Entertainment, Furniture Stores, Ice Delivery, Auto Repair, Furniture Repair, Electronics, Italian, Local Services, Party Equipment Rentals, Audio/Visual Equipment Rental, Furniture Rental, Nightlife, Karaoke, Photo Booth Rentals"
20702,Scottsdale Community College Fitness Center,9000 E Chaparral Rd,Scottsdale,AZ,85250,4.0,4,1,"Active Life, Gyms, Fitness & Instruction"
20709,Modo Yoga,"3638 E Sunset Rd, Ste 110",Las Vegas,NV,89120,5.0,104,1,"Yoga, Barre Classes, Pilates, Active Life, Fitness & Instruction"
20726,Pilates + Yoga,"500 E Windmill Ln, Ste 135",Las Vegas,NV,89123,4.5,50,1,"Pilates, Active Life, Fitness & Instruction, Yoga"
20727,Deep Pilates At Quarry Arts,"715 Hill St, Ste 160",Madison,WI,53705,5.0,3,1,"Health & Medical, Physical Therapy, Fitness & Instruction, Active Life, Pilates"
20732,Klub Athletik Griffintown,1150 Rue Wellington,Montréal,QC,H3C 1V8,3.0,5,1,"Trainers, Cardio Classes, Active Life, Gyms, Fitness & Instruction"
20761,Ryoku Judo Club,3854-60 Schiff Dr,Las Vegas,NV,89103,5.0,3,1,"Active Life, Fitness & Instruction, Martial Arts"
20786,Snap Fitness - Waxhaw,3913 Providence Rd S,Waxhaw,NC,28173,4.0,8,1,"Fitness & Instruction, Gyms, Trainers, Active Life"
20789,Pure Barre - Dana Park,"1854 South Val Vista Dr, Ste A-108",Mesa,AZ,85204,5.0,9,1,"Barre Classes, Fitness & Instruction, Active Life"
20874,Crown Town Athletics,1610 E 4th St,Charlotte,NC,28204,5.0,4,1,"Gyms, Fitness & Instruction, Interval Training Gyms, Boot Camps, Active Life, Sports Clubs"
20896,Moksha Yoga Aurora,"40 Englehard Drive, Unit 5",Aurora,ON,L4G 6X6,4.0,4,1,"Active Life, Yoga, Fitness & Instruction"
20950,Ageless Martial Arts,"8525 S Eastern Ave, Ste 100",Las Vegas,NV,89123,4.0,25,1,"Karate, Active Life, Gyms, Martial Arts, Fitness & Instruction"
20958,EXOS,2629 E Rose Garden Ln,Phoenix,AZ,85050,4.5,12,1,"Active Life, Trainers, Health & Medical, Nutritionists, Fitness & Instruction, Physical Therapy"
20967,Student Recreation and Wellness Center,4505 S Maryland Pkwy,Las Vegas,NV,89119,4.5,79,1,"Fitness & Instruction, Swimming Pools, Recreation Centers, Medical Centers, Active Life, Lactation Services, Education, Health & Medical, Colleges & Universities, Gyms"
21002,iLoveKickboxing- Pittsburgh,5001 Curry Rd,Pittsburgh,PA,15236,4.5,10,1,"Boxing, Gyms, Kickboxing, Health & Medical, Martial Arts, Active Life, Fitness & Instruction, Weight Loss Centers, Boot Camps"
21074,The Camp Transformation Center - Gilbert,"875 N Mcqueen Rd, Ste 105",Gilbert,AZ,85233,4.0,34,1,"Gyms, Fitness & Instruction, Weight Loss Centers, Active Life, Health & Medical, Boot Camps, Trainers"
21127,Kang's Black Belt Academy,42 E Pike,Canonsburg,PA,15317,5.0,3,1,"Martial Arts, Fitness & Instruction, Active Life"
21130,EōS Fitness,14843 N Northsight Blvd,Scottsdale,AZ,85260,3.0,207,1,"Gyms, Yoga, Trainers, Fitness & Instruction, Active Life, Cardio Classes"
21185,Taekwondo America,1609 C Sardis Rd N,Charlotte,NC,28270,4.0,4,1,"Taekwondo, Active Life, Martial Arts, Fitness & Instruction"
21202,Golf Galaxy,10844 Providence Rd,Charlotte,NC,28277,3.0,5,1,"Golf, Golf Equipment, Golf Lessons, Outdoor Gear, Fitness & Instruction, Shopping, Sporting Goods, Active Life, Sports Wear, Fashion"
21225,Trainer Paul,,Phoenix,AZ,85003,5.0,3,1,"Fitness & Instruction, Life Coach, Professional Services, Active Life, Trainers"
21276,Fitness Connection - SouthPark,5601 South Blvd,Charlotte,NC,28210,2.0,14,1,"Active Life, Sports Clubs, Fitness & Instruction, Gyms"
21324,Mountainside Fitness,3345 S Val Vista Dr,Gilbert,AZ,85297,3.5,101,1,"Yoga, Gyms, Fitness & Instruction, Active Life, Sports Clubs, Trainers"
21396,Anytime Fitness,2151 S Taylor Rd,University Heights,OH,44118,3.5,19,1,"Gyms, Active Life, Trainers, Fitness & Instruction"
21505,Grace Fighting Systems Training Center,"2501 W Behrend Dr, Ste 33",Phoenix,AZ,85027,5.0,3,1,"Fitness & Instruction, Martial Arts, Active Life"
21524,Everlasting changes,520 Zimmer Rd,Fort Mill,SC,29707,4.0,9,1,"Nutritionists, Trainers, Gyms, Health & Medical, Boot Camps, Fitness & Instruction, Active Life"
21656,Anatomica RMT,"1302 Bloor Street W, Steps from Lansdowne station",Toronto,ON,M6H 1N9,5.0,3,1,"Health & Medical, Beauty & Spas, Massage Therapy, Physical Therapy, Acupuncture, Chiropractors, Massage, Yoga, Osteopathic Physicians, Fitness & Instruction, Active Life, Doctors"
21752,FluidMotion Pittsburgh,100 7th St 3L,Pittsburgh,PA,15222,4.0,4,1,"Boot Camps, Active Life, Fitness & Instruction, Paddleboarding, Yoga"
21769,Colosseum Training Center,3306 St Rose Park Way,Henderson,NV,89052,5.0,8,1,"Trainers, Gyms, Active Life, Boot Camps, Fitness & Instruction"
21834,Fitness Propelled,11144 N 108th Pl,Scottsdale,AZ,85259,5.0,6,1,"Health & Medical, Home Services, Weight Loss Centers, Fitness & Instruction, Active Life, Trainers"
21860,GoodLife Fitness,3420 Major MacKenzie Drive W,Vaughan,ON,L4H 4J6,3.0,6,1,"Active Life, Trainers, Gyms, Sports Clubs, Fitness & Instruction"
21884,Jabz Boxing Fitness For Women- North Phoenix,"10880 N 32nd St, Ste 1",Phoenix,AZ,85028,5.0,22,1,"Boxing, Boot Camps, Active Life, Gyms, Fitness & Instruction"
21905,Training Revelations,605 Melwood Ave,Pittsburgh,PA,15213,5.0,10,1,"Fitness & Instruction, Trainers, Active Life"
22000,Madison Circus Space,2082 Winnebago St,Madison,WI,53704,4.5,3,1,"Active Life, Fitness & Instruction, Arts & Entertainment, Event Planning & Services, Local Services, Community Service/Non-Profit, Venues & Event Spaces, Performing Arts"
22004,Orangetheory Fitness Wexford,12003 Perry Hwy,Wexford,PA,15090,5.0,8,1,"Active Life, Trainers, Gyms, Fitness & Instruction, Interval Training Gyms, Boot Camps"
22046,Nautilus Plus,1231 Rue Sainte-Catherine O,Montréal,QC,H3G 1P5,3.0,4,1,"Active Life, Fitness & Instruction, Gyms"
