name,url,street_address,city,state,zip_code,country,phone_number_1,phone_number_2,fax_1,fax_2,email_1,email_2,website,open_hours,latitude,longitude,facebook,twitter,instagram,pinterest,youtube
SAN RAMON,https://www.luckysupermarkets.com/stores#/5081,21001 SAN RAMON VALLEY BLVD,SAN RAMON,CA,94583,US,925-828-1200,925-828-8670,925-828-0493,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.7241142,-121.94468,,,,,
SAND CITY,https://www.luckysupermarkets.com/stores#/5082,2000 CALIFORNIA AVE,SAND CITY,CA,93955,US,831-393-1200,831-393-1400,831-393-2870,,,,,"Sunday : 06:00AM - 10:00PM, Monday : 06:00AM - 10:00PM, Tuesday : 06:00AM - 10:00PM, Wednesday : 06:00AM - 10:00PM, Thursday : 06:00AM - 10:00PM, Friday : 06:00AM - 10:00PM, Saturday : 06:00AM - 10:00PM",36.6197747,-121.8436,,,,,
ClickCart - EL CAMINO REAL,https://www.luckysupermarkets.com/stores#/5083,3705 EL CAMINO REAL,SANTA CLARA,CA,95051,US,408-247-5200,408-249-6700,408-247-6570,,,,,"Sunday : 06:00AM - 01:00AM, Monday : 06:00AM - 01:00AM, Tuesday : 06:00AM - 01:00AM, Wednesday : 06:00AM - 01:00AM, Thursday : 06:00AM - 01:00AM, Friday : 06:00AM - 01:00AM, Saturday : 06:00AM - 01:00AM",37.3538837,-121.99801,,,,,
SARATOGA AVE,https://www.luckysupermarkets.com/stores#/5084,234 SARATOGA AVE,SANTA CLARA,CA,95050,US,408-296-0515,,408-269-2167,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.3292212,-121.96686,,,,,
BICENTENNIAL WAY,https://www.luckysupermarkets.com/stores#/5085,150 BICENTENNIAL WAY,SANTA ROSA,CA,95403,US,707-566-7515,,707-566-0164,,,,,"Sunday : 06:00AM - 10:00PM, Monday : 06:00AM - 10:00PM, Tuesday : 06:00AM - 10:00PM, Wednesday : 06:00AM - 10:00PM, Thursday : 06:00AM - 10:00PM, Friday : 06:00AM - 10:00PM, Saturday : 06:00AM - 10:00PM",38.4702824,-122.7199,,,,,
MONTGOMERY VILLAGE,https://www.luckysupermarkets.com/stores#/5086,915 MONTGOMERY VILLAGE CT,SANTA ROSA,CA,95405,US,707-542-3214,707-542-1879,707-542-0634,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",38.4425824,-122.68586,,,,,
SEBASTOPOL,https://www.luckysupermarkets.com/stores#/5087,776 GRAVENSTEIN HWY N,SEBASTOPOL,CA,95472,US,707-823-9640,,707-823-7568,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",38.407243,-122.84017,,,,,
SONOMA,https://www.luckysupermarkets.com/stores#/5088,19181 SONOMA HIGHWAY,SONOMA,CA,95476,US,707-996-1271,,707-996-3382,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",38.300289,-122.47697,,,,,
SUNNYVALE,https://www.luckysupermarkets.com/stores#/5089,484 N. MATHILDA AVE,SUNNYVALE,CA,94085,US,408-737-1834,408-749-8200,408-749-8504,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.3884252,-122.02933,,,,,
DYER ST,https://www.luckysupermarkets.com/stores#/5090,32300 DYER ST,UNION CITY,CA,94587,US,510-441-8484,510-441-9393,510-441-8998,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",37.5984228,-122.06938,,,,,
E. MONTE VISTA,https://www.luckysupermarkets.com/stores#/5091,777 E. MONTE VISTA AVE,VACAVILLE,CA,95688,US,707-448-5723,707-448-8420,707-448-3911,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",38.3601614,-121.98284,,,,,
PEABODY,https://www.luckysupermarkets.com/stores#/5092,1979 PEABODY RD,VACAVILLE,CA,95687,US,707-452-0991,707-452-0145,707-452-0901,,,,,"Sunday : 06:00AM - 12:00AM, Monday : 06:00AM - 12:00AM, Tuesday : 06:00AM - 12:00AM, Wednesday : 06:00AM - 12:00AM, Thursday : 06:00AM - 12:00AM, Friday : 06:00AM - 12:00AM, Saturday : 06:00AM - 12:00AM",38.3363985,-121.96873,,,,,
